@relation 'tweets-weka.filters.unsupervised.attribute.StringToWordVector-R5-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"-weka.filters.unsupervised.attribute.Remove-R31-1606,1608-1898,1900-2501-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Remove-R1-4,6,8-27,30-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6'

@attribute D numeric
@attribute N numeric
@attribute obama numeric
@attribute romney numeric
@attribute sentence_length numeric
@attribute sentiment {pro_obama,pro_romney}

@data
{1 5,2 1,4 89,5 pro_romney}
{0 2,1 3,2 1,4 107}
{1 1,2 1,4 19}
{0 2,1 6,2 1,4 129,5 pro_romney}
{0 2,1 5,2 1,4 59,5 pro_romney}
{0 1,1 3,2 1,4 129}
{0 1,1 6,2 1,4 70}
{2 1,4 34}
{1 4,2 1,4 112,5 pro_romney}
{1 5,2 1,4 77,5 pro_romney}
{0 2,1 6,3 1,4 128}
{1 2,3 1,4 68,5 pro_romney}
{1 3,2 1,3 1,4 126,5 pro_romney}
{0 2,1 4,3 1,4 119,5 pro_romney}
{0 3,1 6,2 1,4 99,5 pro_romney}
{1 2,2 1,4 30,5 pro_romney}
{0 3,1 4,3 1,4 135}
{0 4,1 5,2 1,4 132,5 pro_romney}
{1 5,2 1,4 109,5 pro_romney}
{1 4,2 1,3 1,4 66}
{0 3,1 4,3 1,4 132}
{0 2,1 4,2 1,4 63,5 pro_romney}
{0 1,1 4,2 1,3 1,4 50}
{0 2,1 6,2 1,4 103}
{0 1,1 6,2 1,4 104}
{0 2,1 4,2 1,3 1,4 119}
{0 2,1 3,3 1,4 126}
{0 4,1 5,2 1,3 1,4 127}
{1 6,2 1,4 109,5 pro_romney}
{0 1,1 4,2 1,4 133,5 pro_romney}
{2 1,3 1,4 61}
{0 1,1 2,2 1,4 74}
{1 6,2 1,3 1,4 128,5 pro_romney}
{0 2,1 5,2 1,4 131,5 pro_romney}
{1 2,3 1,4 103,5 pro_romney}
{0 1,1 6,2 1,4 83,5 pro_romney}
{0 1,1 3,3 1,4 105}
{1 4,2 1,4 84,5 pro_romney}
{0 1,1 6,3 1,4 128}
{0 2,1 3,3 1,4 126}
{2 1,3 1,4 120}
{0 1,1 4,2 1,4 98,5 pro_romney}
{1 2,2 1,4 34,5 pro_romney}
{0 2,1 7,2 1,4 127,5 pro_romney}
{0 1,1 3,3 1,4 80}
{0 2,1 4,3 1,4 134}
{0 2,1 4,2 1,4 127,5 pro_romney}
{0 1,1 5,2 1,4 119,5 pro_romney}
{1 2,3 1,4 100}
{0 1,1 4,3 1,4 100}
{0 1,1 2,3 1,4 39,5 pro_romney}
{0 1,1 3,2 1,4 113,5 pro_romney}
{0 1,1 2,3 1,4 109}
{0 4,1 5,2 1,4 129}
{1 7,2 1,4 75,5 pro_romney}
{1 3,2 1,4 132}
{0 1,1 3,4 86,5 pro_romney}
{1 3,3 1,4 52,5 pro_romney}
{0 1,1 1,4 92}
{1 6,3 1,4 107,5 pro_romney}
{2 1,3 1,4 31}
{0 3,1 5,2 1,3 1,4 138}
{0 2,1 3,3 1,4 130}
{0 4,1 5,2 1,4 126,5 pro_romney}
{1 2,2 1,3 1,4 71,5 pro_romney}
{0 2,1 8,2 1,4 127,5 pro_romney}
{0 1,1 1,2 1,4 13}
{1 3,2 1,4 70}
{1 3,2 1,4 128,5 pro_romney}
{0 3,1 4,3 1,4 127,5 pro_romney}
{2 1,4 13,5 pro_romney}
{2 1,3 1,4 112,5 pro_romney}
{1 2,2 1,3 1,4 85}
{0 2,1 1,3 1,4 99,5 pro_romney}
{0 2,1 3,3 1,4 54,5 pro_romney}
